! AeroL.Airfoil V2.0.0 Powered by Zhao Zizhen
This file targets OpenWECD 1.0.2+ and stores the quasi-steady polar table used by AeroL.
===========  Airfoil information  (General data)  ===========
96.6                Thickness      - airfoil thickness to chord ratio (%)
1          ReyNum        - Reynolds number (-)
41.667                PMCentre       - pitching moment reference position (%)
"./IEA-15-240-RWT_AF02_Coords.txt"                Geometry       - airfoil geometry coordinate file
===========  Airfoil data  (Aerofoil Database) ===========
 1    InterpOrd  - Interpolation order to use for quasi-steady table lookup {1=linear; 2=cubic spline; default=1}
        200   NumAlf            ! Number of data lines in the following table
    Alpha      Cl      Cd        Cm
    (deg)      (-)     (-)       (-)
-180.000000    0.000090    0.330799   -0.000090
-177.000000    0.018492    0.330626    0.005076
-174.000000    0.037257    0.330166    0.010504
-171.000000    0.056023    0.329419    0.015932
-168.000000    0.074710    0.330380    0.015647
-165.000000    0.093361    0.330349    0.012519
-162.000000    0.112010    0.327858    0.009406
-159.000000    0.122017    0.327704    0.005747
-156.000000    0.114738    0.332851    0.001214
-153.000000    0.107461    0.337359    0.001104
-150.000000    0.100184    0.341258    0.001016
-147.000000    0.079543    0.350009    0.000904
-144.000000    0.074884    0.352937    0.000803
-141.000000    0.069049    0.358222    0.000704
-138.000000    0.064646    0.364100    0.000664
-135.000000    0.060848    0.370247    0.000652
-132.000000    0.056842    0.376371    0.000639
-129.000000    0.052819    0.382379    0.000634
-126.000000    0.048843    0.388056    0.000652
-123.000000    0.044944    0.393991    0.000668
-120.000000    0.041222    0.400504    0.000683
-117.000000    0.036965    0.404914    0.000709
-114.000000    0.032823    0.409871    0.000734
-111.000000    0.028803    0.415531    0.000760
-108.000000    0.024678    0.419462    0.000782
-105.000000    0.020472    0.422788    0.000801
-102.000000    0.016261    0.426922    0.000822
 -99.000000    0.012180    0.430531    0.000837
 -96.000000    0.008353    0.431821    0.000839
 -93.000000    0.004334    0.434041    0.000841
 -90.000000    0.000089    0.437208    0.000844
 -87.000000   -0.004155    0.434040    0.000806
 -84.000000   -0.008173    0.431821    0.000767
 -81.000000   -0.012000    0.430531    0.000730
 -78.000000   -0.016080    0.426922    0.000682
 -75.000000   -0.020291    0.422789    0.000630
 -72.000000   -0.024497    0.419462    0.000579
 -69.000000   -0.028620    0.415531    0.000528
 -66.000000   -0.032633    0.409871    0.000475
 -63.000000   -0.036768    0.404913    0.000423
 -60.000000   -0.041018    0.400502    0.000372
 -57.000000   -0.044747    0.393989    0.000327
 -54.000000   -0.048653    0.388056    0.000283
 -51.000000   -0.052636    0.382379    0.000241
 -48.000000   -0.056661    0.376372    0.000206
 -45.000000   -0.060667    0.370248    0.000176
 -42.000000   -0.064465    0.364101    0.000146
 -39.000000   -0.068868    0.358223    0.000131
 -36.000000   -0.074703    0.352938    0.000151
 -33.000000   -0.079362    0.350009    0.003186
 -30.000000   -0.082086    0.346294    0.006329
 -29.393940   -0.080503    0.347502    0.005968
 -28.787878   -0.078927    0.348690    0.005607
 -28.181818   -0.077357    0.349606    0.005246
 -27.575758   -0.078484    0.349535    0.004830
 -26.969696   -0.080771    0.348552    0.004392
 -26.363636   -0.083065    0.347566    0.003953
 -25.757576   -0.085367    0.346578    0.003514
 -25.151516   -0.087677    0.345589    0.003075
 -24.545454   -0.089997    0.344597    0.002637
 -23.939394   -0.092357    0.343591    0.002189
 -23.333334   -0.095006    0.342464    0.001666
 -22.727272   -0.097670    0.341335    0.001143
 -22.121212   -0.100350    0.340203    0.000620
 -21.515152   -0.102874    0.339070    0.000090
 -20.909090   -0.105302    0.337935   -0.000243
 -20.303030   -0.107729    0.336797   -0.000816
