! AeroL.Airfoil V2.0.0 Powered by Zhao Zizhen
IEA_15MW_VolturnUS_S 模型
===========  Airfoil information  (General data)  ===========
88.7                Thickness      - airfoil thickness to chord ratio (%)
1          ReyNum        - Reynolds number (-)
41.667                PMCentre       - pitching moment reference position (%)
"./IEA-15-240-RWT_AF03_Coords.txt"                Geometry       - airfoil geometry coordinate file
===========  Airfoil data  (Aerofoil Database) ===========
 1    InterpOrd - 准稳态翼型表插值阶数 {1=linear; 2=cubic spline}
        200   NumAlf            ! Number of data lines in the following table
    Alpha      Cl      Cd        Cm
    (deg)      (-)     (-)       (-)
-180.000000    0.000067    0.284801   -0.000067
-177.000000    0.057231    0.284283    0.018198
-174.000000    0.115435    0.282893    0.037257
-171.000000    0.173640    0.280622    0.056316
-168.000000    0.231622    0.283763    0.056457
-165.000000    0.289496    0.283967    0.047288
-162.000000    0.347367    0.276119    0.038275
-159.000000    0.380495    0.276913    0.027918
-156.000000    0.364131    0.293953    0.015381
-153.000000    0.347770    0.309376    0.014187
-150.000000    0.331409    0.323263    0.013222
-147.000000    0.265710    0.350124    0.011947
-144.000000    0.250096    0.360866    0.010771
-141.000000    0.230733    0.378316    0.009631
-138.000000    0.216035    0.397761    0.009165
-135.000000    0.203313    0.418141    0.009011
-132.000000    0.189929    0.438499    0.008856
-129.000000    0.176493    0.458496    0.008794
-126.000000    0.163207    0.477430    0.008991
-123.000000    0.150163    0.497183    0.009173
-120.000000    0.137681    0.518796    0.009351
-117.000000    0.123462    0.533559    0.009641
-114.000000    0.109610    0.550077    0.009929
-111.000000    0.096144    0.568863    0.010223
-108.000000    0.082333    0.581970    0.010472
-105.000000    0.068257    0.593069    0.010695
-102.000000    0.054167    0.606794    0.010928
 -99.000000    0.040504    0.618778    0.011095
 -96.000000    0.027673    0.623093    0.011108
 -93.000000    0.014236    0.630462    0.011132
 -90.000000    0.000064    0.640990    0.011156
 -87.000000   -0.014105    0.630461    0.010709
 -84.000000   -0.027541    0.623092    0.010265
 -81.000000   -0.040369    0.618778    0.009830
 -78.000000   -0.054031    0.606795    0.009273
 -75.000000   -0.068121    0.593070    0.008666
 -72.000000   -0.082197    0.581971    0.008072
 -69.000000   -0.096001    0.568865    0.007469
 -66.000000   -0.109444    0.550076    0.006848
 -63.000000   -0.123274    0.533556    0.006239
 -60.000000   -0.137471    0.518789    0.005639
 -57.000000   -0.149975    0.497178    0.005112
 -54.000000   -0.163041    0.477428    0.004594
 -51.000000   -0.176350    0.458497    0.004086
