! AeroL.Airfoil V2.0.0 Powered by Zhao Zizhen
This file targets OpenWECD 1.0.2+ and stores the quasi-steady polar table used by AeroL.
===========  Airfoil information  (General data)  ===========
79                Thickness      - airfoil thickness to chord ratio (%)
1          ReyNum        - Reynolds number (-)
41.667                PMCentre       - pitching moment reference position (%)
"./IEA-15-240-RWT_AF04_Coords.txt"                Geometry       - airfoil geometry coordinate file
===========  Airfoil data  (Aerofoil Database) ===========
 1    InterpOrd  - Interpolation order to use for quasi-steady table lookup {1=linear; 2=cubic spline; default=1}
        200   NumAlf            ! Number of data lines in the following table
    Alpha      Cl      Cd        Cm
    (deg)      (-)     (-)       (-)
-180.000000    0.000039    0.227152   -0.000039
-177.000000    0.094644    0.226370    0.036329
-174.000000    0.190766    0.224262    0.073943
-171.000000    0.286888    0.220781    0.111558
-168.000000    0.382686    0.226331    0.114690
-165.000000    0.478326    0.227685    0.101022
-162.000000    0.573963    0.215563    0.087814
-159.000000    0.633508    0.220192    0.073207
-156.000000    0.620871    0.250824    0.056289
-153.000000    0.608238    0.279637    0.052534
-150.000000    0.595605    0.306720    0.049452
-147.000000    0.487124    0.350520    0.045007
-144.000000    0.458338    0.372815    0.040856
-141.000000    0.423456    0.404459    0.036808
-138.000000    0.396603    0.439649    0.035116
-135.000000    0.373175    0.476563    0.034525
-132.000000    0.348677    0.513533    0.033935
-129.000000    0.324097    0.549898    0.033690
-126.000000    0.299757    0.584444    0.034362
-123.000000    0.275810    0.620320    0.034985
-120.000000    0.252770    0.659245    0.035600
-117.000000    0.226756    0.686404    0.036606
-114.000000    0.201335    0.716429    0.037607
-111.000000    0.176537    0.750197    0.038622
-108.000000    0.151131    0.774033    0.039474
-105.000000    0.125271    0.794268    0.040230
-102.000000    0.099389    0.818867    0.041016
 -99.000000    0.074251    0.840272    0.041568
 -96.000000    0.050571    0.848220    0.041579
 -93.000000    0.025910    0.861302    0.041622
 -90.000000    0.000036    0.879778    0.041669
 -87.000000   -0.025836    0.861301    0.040071
 -84.000000   -0.050493    0.848220    0.038481
 -81.000000   -0.074169    0.840272    0.036920
 -78.000000   -0.099305    0.818869    0.034931
 -75.000000   -0.125188    0.794271    0.032763
 -72.000000   -0.151047    0.774036    0.030629
 -69.000000   -0.176440    0.750199    0.028460
 -66.000000   -0.201200    0.716427    0.026221
 -63.000000   -0.226584    0.686398    0.024013
 -60.000000   -0.252560    0.659234    0.021835
 -57.000000   -0.275638    0.620313    0.019907
 -54.000000   -0.299623    0.584441    0.018004
 -51.000000   -0.324000    0.549901    0.016131
 -48.000000   -0.348594    0.513537    0.014602
 -45.000000   -0.373091    0.476568    0.013241
 -42.000000   -0.396520    0.439653    0.011895
 -39.000000   -0.423372    0.404463    0.011032
 -36.000000   -0.458253    0.372819    0.011315
 -33.000000   -0.487040    0.350521    0.022862
 -30.000000   -0.505906    0.325416    0.034993
 -29.393940   -0.498308    0.328726    0.032826
 -28.787878   -0.490927    0.331397    0.030660
 -28.181818   -0.483745    0.333059    0.028494
 -27.575758   -0.489585    0.331039    0.026173
 -26.969696   -0.501139    0.326030    0.023786
 -26.363636   -0.512922    0.320950    0.021398
 -25.757576   -0.524951    0.315804    0.019011
 -25.151516   -0.537243    0.310597    0.016623
 -24.545454   -0.549816    0.305333    0.014236
 -23.939394   -0.562858    0.299965    0.011825
 -23.333334   -0.577805    0.294081    0.009197
 -22.727272   -0.593223    0.288127    0.006570
 -22.121212   -0.609155    0.282106    0.003942
 -21.515152   -0.620241    0.276021    0.001122
 -20.909090   -0.628328    0.269874   -0.000790
 -20.303030   -0.636415    0.263669   -0.003559
 -19.696970   -0.637076    0.258590   -0.007056
 -19.090910   -0.619642    0.258152   -0.008052
 -18.484848   -0.623525    0.255032   -0.009101
 -17.878788   -0.609836    0.254176   -0.009883
 -17.272728   -0.606442    0.252107   -0.010491
 -16.666666   -0.603514    0.250106   -0.011022
 -16.060606   -0.588432    0.249495   -0.011477
 -15.454545   -0.582564    0.247651   -0.012026
 -14.848485   -0.573180    0.246237   -0.012586
 -14.242424   -0.556685    0.245548   -0.013024
 -13.636364   -0.541803    0.244569   -0.013694
 -13.030303   -0.531627    0.243171   -0.014095
 -12.424242   -0.508516    0.242916   -0.014788
 -11.818182   -0.491538    0.241914   -0.015233
 -11.212121   -0.462782    0.241275   -0.015548
 -10.606061   -0.448965    0.239879   -0.015203
 -10.000000   -0.438340    0.239000   -0.014125
  -9.393939   -0.411473    0.238634   -0.015096
  -8.787879   -0.368383    0.238401   -0.018169
  -8.181818   -0.309636    0.238463   -0.022443
  -7.575758   -0.259973    0.238708   -0.026125
  -6.969697   -0.211292    0.238833   -0.029972
  -6.363636   -0.160065    0.239000   -0.034124
  -5.757576   -0.113705    0.239373   -0.037459
  -5.151515   -0.066674    0.239485   -0.041645
  -4.545455   -0.024795    0.239720   -0.045060
  -3.939394   -0.007201    0.240036   -0.047636
  -3.333333    0.022744    0.240101   -0.049657
  -2.727273    0.078138    0.240376   -0.050366
  -2.121212    0.114249    0.240651   -0.050182
  -1.515152    0.148889    0.240676   -0.050164
  -0.909091    0.175778    0.240897   -0.050026
  -0.303030    0.199535    0.240943   -0.049903
   0.303030    0.228645    0.241081   -0.050072
   0.909091    0.261157    0.241179   -0.050382
   1.515152    0.295146    0.241265   -0.050887
   2.121212    0.327739    0.241325   -0.051472
   2.727273    0.361315    0.241419   -0.051866
   3.333333    0.394511    0.241578   -0.052516
   3.939394    0.427782    0.241559   -0.052994
   4.545455    0.461047    0.241668   -0.053699
   5.151515    0.494392    0.241782   -0.054161
   5.757576    0.527593    0.241741   -0.054692
   6.363636    0.560588    0.241903   -0.055158
   6.969697    0.593768    0.241922   -0.055524
   7.575758    0.627906    0.241905   -0.056095
   8.181818    0.659819    0.241992   -0.056165
   8.787879    0.693947    0.241928   -0.056477
   9.393939    0.723592    0.241847   -0.056409
  10.000000    0.745038    0.241734   -0.055648
  10.606061    0.772112    0.241286   -0.054987
  11.212121    0.784604    0.240715   -0.051427
  11.818182    0.796716    0.240136   -0.047324
  12.424242    0.818437    0.239064   -0.043972
  13.030303    0.848697    0.237748   -0.041885
  13.636364    0.889430    0.235925   -0.040956
  14.242424    0.917505    0.235198   -0.039626
  14.848485    0.944651    0.234574   -0.038530
  15.454545    0.971503    0.234243   -0.037699
  16.060606    0.988672    0.234845   -0.036767
  16.666666    1.015226    0.235154   -0.035887
  17.272728    1.047142    0.235218   -0.035456
  17.878788    1.052589    0.237631   -0.035043
  18.484848    1.046410    0.239487   -0.033968
  19.090910    1.045486    0.240538   -0.033187
  19.696970    1.042088    0.241972   -0.032834
  20.303030    1.032114    0.244106   -0.033128
  20.909090    1.017471    0.246539   -0.033410
  21.515152    1.007077    0.248308   -0.034152
  22.121212    1.002931    0.248967   -0.035419
  22.727272    1.003011    0.249725   -0.037148
  23.333334    1.004257    0.251751   -0.039052
  23.939394    1.005658    0.253720   -0.041454
  24.545454    0.994604    0.257233   -0.044584
  25.151516    0.974810    0.262759   -0.049011
  25.757576    0.952577    0.268972   -0.054014
  26.363636    0.930112    0.275324   -0.059104
  26.969696    0.907799    0.281583   -0.064280
  27.575758    0.885585    0.287803   -0.069494
  28.181818    0.856168    0.294017   -0.074795
  28.787878    0.822323    0.300214   -0.080349
  29.393940    0.788933    0.306551   -0.086106
  30.000000    0.764343    0.313902   -0.088792
  33.000000    0.682326    0.351965   -0.096391
  36.000000    0.643620    0.379834   -0.104002
  39.000000    0.596219    0.410427   -0.111843
  42.000000    0.561364    0.444572   -0.116532
  45.000000    0.529910    0.479722   -0.120946
  48.000000    0.496893    0.514840   -0.125274
  51.000000    0.462979    0.549901   -0.130131
  54.000000    0.428226    0.584441   -0.134906
  57.000000    0.394032    0.620313   -0.139846
  60.000000    0.361135    0.659234   -0.144780
  63.000000    0.323968    0.686398   -0.150391
  66.000000    0.287645    0.716427   -0.155997
  69.000000    0.252215    0.750199   -0.161607
  72.000000    0.215923    0.774036   -0.167520
  75.000000    0.178987    0.794271   -0.173530
  78.000000    0.142018    0.818869   -0.179628
  81.000000    0.106107    0.840272   -0.185596
  84.000000    0.072267    0.848220   -0.191040
  87.000000    0.037024    0.861301   -0.196627
  90.000000    0.000047    0.879778   -0.202220
  93.000000   -0.025831    0.861302   -0.203179
  96.000000   -0.050491    0.848220   -0.204141
  99.000000   -0.074171    0.840272   -0.205502
 102.000000   -0.099309    0.818867   -0.204899
 105.000000   -0.125191    0.794268   -0.203691
 108.000000   -0.151050    0.774033   -0.202766
 111.000000   -0.176443    0.750197   -0.201425
 114.000000   -0.201199    0.716429   -0.199805
 117.000000   -0.226579    0.686404   -0.198189
 120.000000   -0.252550    0.659245   -0.196245
 123.000000   -0.275633    0.620320   -0.195930
 126.000000   -0.299621    0.584444   -0.195317
 129.000000   -0.324002    0.549898   -0.193597
 132.000000   -0.348597    0.513533   -0.196631
 135.000000   -0.373094    0.476563   -0.199854
 138.000000   -0.396523    0.439649   -0.203076
 141.000000   -0.423375    0.404459   -0.212270
 144.000000   -0.458257    0.372815   -0.235130
 147.000000   -0.487044    0.350520   -0.258177
 150.000000   -0.595526    0.306720   -0.284626
 153.000000   -0.608159    0.279637   -0.312072
 156.000000   -0.620793    0.250824   -0.335526
 159.000000   -0.633427    0.220191   -0.358979
 162.000000   -0.573865    0.215565   -0.331909
 165.000000   -0.478197    0.227685   -0.279572
 168.000000   -0.382528    0.226331   -0.200151
 171.000000   -0.286718    0.220781   -0.139519
 174.000000   -0.190627    0.224262   -0.092509
 177.000000   -0.094535    0.226370   -0.045500
 180.000000    0.000039    0.227152   -0.000039
 ------------------------------------------------------------------------------
