! AeroL.Airfoil V2.0.0 Powered by Zhao Zizhen
IEA_15MW_VolturnUS_S 模型
===========  Airfoil information  (General data)  ===========
32.5                Thickness      - airfoil thickness to chord ratio (%)
1          ReyNum        - Reynolds number (-)
25                PMCentre       - pitching moment reference position (%)
"./IEA-15-240-RWT_AF17_Coords.txt"                Geometry       - airfoil geometry coordinate file
===========  Airfoil data  (Aerofoil Database) ===========
 1    InterpOrd - 准稳态翼型表插值阶数 {1=linear; 2=cubic spline}
        200   NumAlf            ! Number of data lines in the following table
    Alpha      Cl      Cd        Cm
    (deg)      (-)     (-)       (-)
-180.000000    0.000000    0.030541    0.000000
-177.000000    0.090504    0.031695    0.120000
-174.000000    0.181008    0.034773    0.240000
-171.000000    0.271513    0.039744    0.360001
-168.000000    0.362021    0.048261    0.404109
-165.000000    0.452520    0.072022    0.410272
-162.000000    0.543029    0.109015    0.416436
-159.000000    0.633523    0.152131    0.428001
-156.000000    0.724034    0.200676    0.450381
-153.000000    0.814537    0.253751    0.472759
-150.000000    0.905040    0.311131    0.492155
-147.000000    0.946361    0.372566    0.481703
-144.000000    0.889305    0.436158    0.468151
-141.000000    0.838949    0.502645    0.454895
-138.000000    0.790859    0.570223    0.445189
-135.000000    0.744414    0.638557    0.438028
-132.000000    0.698958    0.707086    0.430867
-129.000000    0.653365    0.774658    0.427333
-126.000000    0.607205    0.840900    0.425663
-123.000000    0.560302    0.905483    0.425379
-120.000000    0.511915    0.966335    0.425497
-117.000000    0.462456    1.023734    0.426260
-114.000000    0.412063    1.077600    0.427352
-111.000000    0.360673    1.126946    0.428442
-108.000000    0.308409    1.169646    0.428068
-105.000000    0.255859    1.207345    0.427364
-102.000000    0.203184    1.239863    0.426283
 -99.000000    0.150822    1.264749    0.423902
 -96.000000    0.099379    1.282467    0.419883
 -93.000000    0.049032    1.294242    0.415353
 -90.000000    0.000000    1.300000    0.410820
 -87.000000   -0.049032    1.294242    0.401280
 -84.000000   -0.099379    1.282467    0.391738
 -81.000000   -0.150822    1.264749    0.381804
 -78.000000   -0.203184    1.239863    0.370634
 -75.000000   -0.255859    1.207345    0.358510
 -72.000000   -0.308409    1.169646    0.346124
 -69.000000   -0.360673    1.126946    0.333535
 -66.000000   -0.412063    1.077600    0.320051
 -63.000000   -0.462456    1.023734    0.306567
 -60.000000   -0.511915    0.966335    0.293145
 -57.000000   -0.560302    0.905483    0.279763
 -54.000000   -0.607205    0.840900    0.266443
 -51.000000   -0.653365    0.774658    0.253209
 -48.000000   -0.698958    0.707086    0.240086
 -45.000000   -0.744414    0.638557    0.227172
 -42.000000   -0.827485    0.570223    0.214261
 -39.000000   -0.904963    0.502645    0.185338
 -36.000000   -0.977420    0.436158    0.134679
 -33.000000   -1.049105    0.372566    0.081518
 -30.000000   -1.172060    0.279217    0.051807
 -29.393940   -1.200355    0.257395    0.048170
 -28.787878   -1.228276    0.235748    0.044532
 -28.181818   -1.255820    0.214131    0.040894
 -27.575758   -1.262771    0.201496    0.037593
 -26.969696   -1.260772    0.192680    0.034436
 -26.363636   -1.258501    0.184050    0.031279
 -25.757576   -1.255958    0.175428    0.028121
 -25.151516   -1.253142    0.166807    0.024962
 -24.545454   -1.247782    0.158189    0.021803
 -23.939394   -1.241095    0.149755    0.018738
 -23.333334   -1.229652    0.142979    0.016532
 -22.727272   -1.218133    0.136208    0.014321
 -22.121212   -1.206509    0.129446    0.012104
 -21.515152   -1.194726    0.122699    0.009881
 -20.909090   -1.185123    0.115818    0.007653
 -20.303030   -1.175492    0.108853    0.005462
 -19.696970   -1.164590    0.102490    0.003633
 -19.090910   -1.152384    0.096673    0.002182
 -18.484848   -1.139947    0.090858    0.000767
 -17.878788   -1.127306    0.085174   -0.000525
 -17.272728   -1.114474    0.080004   -0.001296
 -16.666666   -1.101603    0.074835   -0.002070
 -16.060606   -1.088699    0.069667   -0.002846
 -15.454545   -1.078151    0.064830   -0.003015
 -14.848485   -1.067860    0.060030   -0.003118
 -14.242424   -1.057562    0.055230   -0.003222
 -13.636364   -1.048521    0.050730   -0.003228
 -13.030303   -1.040301    0.046439   -0.003223
 -12.424242   -1.032058    0.042145   -0.003048
 -11.818182   -1.015723    0.038149   -0.003768
 -11.212121   -0.980308    0.034856   -0.006819
 -10.606061   -0.944648    0.031560   -0.009870
 -10.000000   -0.908499    0.028262   -0.013172
  -9.393939   -0.840225    0.026172   -0.020200
  -8.787879   -0.771918    0.024082   -0.027141
  -8.181818   -0.703545    0.021991   -0.034001
  -7.575758   -0.631276    0.020403   -0.040130
  -6.969697   -0.557160    0.019029   -0.045971
  -6.363636   -0.483041    0.017656   -0.051816
  -5.757576   -0.405190    0.016530   -0.057666
  -5.151515   -0.321738    0.015777   -0.063511
  -4.545455   -0.238277    0.015024   -0.069353
  -3.939394   -0.154317    0.014314   -0.075147
  -3.333333   -0.065937    0.013996   -0.080558
  -2.727273    0.022478    0.013679   -0.085964
  -2.121212    0.110920    0.013362   -0.091489
  -1.515152    0.198703    0.013191   -0.096449
  -0.909091    0.286270    0.013070   -0.101079
  -0.303030    0.372875    0.013018   -0.105298
   0.303030    0.458797    0.013001   -0.109296
   0.909091    0.544039    0.013019   -0.113065
   1.515152    0.628159    0.013085   -0.116499
   2.121212    0.711829    0.013170   -0.119807
   2.727273    0.794497    0.013297   -0.122839
   3.333333    0.876476    0.013453   -0.125706
   3.939394    0.957891    0.013633   -0.128437
   4.545455    1.038092    0.013861   -0.130910
   5.151515    1.117811    0.014109   -0.133287
   5.757576    1.196494    0.014397   -0.135464
   6.363636    1.274196    0.014727   -0.137462
   6.969697    1.351248    0.015084   -0.139341
   7.575758    1.426168    0.015521   -0.140892
   8.181818    1.500146    0.015996   -0.142301
   8.787879    1.572184    0.016546   -0.143420
   9.393939    1.641608    0.017200   -0.144187
  10.000000    1.709667    0.017909   -0.144764
  10.606061    1.773026    0.018864   -0.144796
  11.212121    1.834592    0.019969   -0.144636
  11.818182    1.889017    0.021352   -0.144116
  12.424242    1.933842    0.023354   -0.143240
  13.030303    1.973848    0.025701   -0.142208
  13.636364    1.995860    0.029601   -0.141121
  14.242424    2.012537    0.034101   -0.140026
  14.848485    2.022291    0.039494   -0.138879
  15.454545    2.028818    0.045401   -0.137759
  16.060606    2.033247    0.051575   -0.136612
  16.666666    2.027850    0.058725   -0.135095
  17.272728    2.022396    0.065903   -0.133577
  17.878788    2.016914    0.073105   -0.132057
  18.484848    1.983917    0.083102   -0.131027
  19.090910    1.944025    0.093807   -0.130160
  19.696970    1.904115    0.104525   -0.129330
  20.303030    1.868190    0.116048   -0.130125
  20.909090    1.836258    0.128371   -0.132526
  21.515152    1.804313    0.140703   -0.134932
  22.121212    1.772354    0.153049   -0.137343
  22.727272    1.740378    0.165413   -0.139760
  23.333334    1.708384    0.177799   -0.142182
  23.939394    1.676367    0.189870   -0.144612
  24.545454    1.664783    0.202126   -0.148375
  25.151516    1.654480    0.214404   -0.152288
  25.757576    1.641057    0.226682   -0.156204
  26.363636    1.627285    0.238961   -0.160122
  26.969696    1.613156    0.251241   -0.164044
  27.575758    1.598662    0.263522   -0.167968
  28.181818    1.584834    0.275719   -0.171703
  28.787878    1.573096    0.287720   -0.174990
  29.393940    1.560511    0.299726   -0.178276
  30.000000    1.546243    0.311734   -0.181560
  33.000000    1.467658    0.372566   -0.198135
  36.000000    1.368824    0.436158   -0.215453
  39.000000    1.271683    0.502645   -0.232417
  42.000000    1.167298    0.570223   -0.246479
  45.000000    1.063448    0.638557   -0.258378
  48.000000    0.998512    0.707086   -0.270278
  51.000000    0.933379    0.774658   -0.281517
  54.000000    0.867436    0.840900   -0.292417
  57.000000    0.800431    0.905483   -0.303073
  60.000000    0.731307    0.966335   -0.313710
  63.000000    0.660652    1.023734   -0.324295
  66.000000    0.588661    1.077600   -0.334750
  69.000000    0.515248    1.126946   -0.345206
  72.000000    0.440584    1.169646   -0.355291
  75.000000    0.365512    1.207345   -0.365291
  78.000000    0.290263    1.239863   -0.375173
  81.000000    0.215460    1.264749   -0.384612
  84.000000    0.141970    1.282467   -0.393476
  87.000000    0.070045    1.294242   -0.402149
  90.000000    0.000000    1.300000   -0.410820
  93.000000   -0.049032    1.294242   -0.415353
  96.000000   -0.099379    1.282467   -0.419883
  99.000000   -0.150822    1.264749   -0.423902
 102.000000   -0.203184    1.239863   -0.426283
 105.000000   -0.255859    1.207345   -0.427364
 108.000000   -0.308409    1.169646   -0.428068
 111.000000   -0.360673    1.126946   -0.428442
 114.000000   -0.412063    1.077600   -0.427352
 117.000000   -0.462456    1.023734   -0.426260
 120.000000   -0.511915    0.966335   -0.425497
 123.000000   -0.560302    0.905483   -0.425379
 126.000000   -0.607205    0.840900   -0.425663
 129.000000   -0.653365    0.774658   -0.427333
 132.000000   -0.698958    0.707086   -0.430867
 135.000000   -0.744414    0.638557   -0.438028
 138.000000   -0.790859    0.570223   -0.445189
 141.000000   -0.838949    0.502645   -0.454895
 144.000000   -0.889305    0.436158   -0.468151
 147.000000   -0.946361    0.372566   -0.481703
 150.000000   -0.905040    0.311131   -0.492155
 153.000000   -0.814536    0.253751   -0.472759
 156.000000   -0.724032    0.200674   -0.450380
 159.000000   -0.633528    0.152134   -0.428003
 162.000000   -0.543024    0.109012   -0.436435
 165.000000   -0.452520    0.072022   -0.460272
 168.000000   -0.362016    0.048260   -0.484109
 171.000000   -0.271512    0.039744   -0.450000
 174.000000   -0.181008    0.034773   -0.300000
 177.000000   -0.090504    0.031695   -0.150000
 180.000000    0.000000    0.030541    0.000000
 ------------------------------------------------------------------------------
