! AeroL.Airfoil V2.0.0 Powered by Zhao Zizhen
This file targets OpenWECD 1.0.2+ and stores the quasi-steady polar table used by AeroL.
===========  Airfoil information  (General data)  ===========
30                Thickness      - airfoil thickness to chord ratio (%)
1          ReyNum        - Reynolds number (-)
25                PMCentre       - pitching moment reference position (%)
"./IEA-15-240-RWT_AF22_Coords.txt"                Geometry       - airfoil geometry coordinate file
===========  Airfoil data  (Aerofoil Database) ===========
 1    InterpOrd  - Interpolation order to use for quasi-steady table lookup {1=linear; 2=cubic spline; default=1}
        200   NumAlf            ! Number of data lines in the following table
    Alpha      Cl      Cd        Cm
    (deg)      (-)     (-)       (-)
-180.000000    0.000000    0.023729    0.000000
-177.000000    0.084994    0.024899    0.120000
-174.000000    0.169987    0.028018    0.240000
-171.000000    0.254981    0.033058    0.360001
-168.000000    0.339979    0.043811    0.400904
-165.000000    0.424968    0.073625    0.402260
-162.000000    0.509966    0.110828    0.403616
-159.000000    0.594951    0.154058    0.411818
-156.000000    0.679951    0.202659    0.433719
-153.000000    0.764944    0.255774    0.455621
-150.000000    0.849936    0.313187    0.474826
-147.000000    0.890389    0.374651    0.467044
-144.000000    0.841793    0.438270    0.456622
-141.000000    0.798481    0.504780    0.446565
-138.000000    0.756775    0.572378    0.439034
-135.000000    0.716162    0.640729    0.433640
-132.000000    0.675458    0.709269    0.428254
-129.000000    0.633534    0.776848    0.425978
-126.000000    0.590661    0.843093    0.425300
-123.000000    0.546721    0.907673    0.425807
-120.000000    0.500851    0.968513    0.426592
-117.000000    0.453631    1.025894    0.427751
-114.000000    0.405228    1.079735    0.429097
-111.000000    0.355556    1.129048    0.430443
-108.000000    0.304688    1.171703    0.430082
-105.000000    0.253325    1.209351    0.429334
-102.000000    0.201633    1.241810    0.428174
 -99.000000    0.149979    1.266627    0.425664
 -96.000000    0.099006    1.284265    0.421455
 -93.000000    0.048940    1.295952    0.416713
 -90.000000    0.000000    1.301615    0.411971
 -87.000000   -0.048940    1.295952    0.402221
 -84.000000   -0.099006    1.284265    0.392470
 -81.000000   -0.149979    1.266627    0.382317
 -78.000000   -0.201633    1.241810    0.370893
 -75.000000   -0.253325    1.209351    0.358481
 -72.000000   -0.304688    1.171703    0.345790
 -69.000000   -0.355556    1.129048    0.332876
 -66.000000   -0.405228    1.079735    0.318970
 -63.000000   -0.453631    1.025894    0.305063
 -60.000000   -0.500851    0.968513    0.291189
 -57.000000   -0.546721    0.907673    0.277378
 -54.000000   -0.590661    0.843093    0.263597
 -51.000000   -0.633534    0.776848    0.249893
 -48.000000   -0.675458    0.709269    0.236294
 -45.000000   -0.716162    0.640729    0.222901
 -42.000000   -0.755138    0.572378    0.209507
 -39.000000   -0.795524    0.504780    0.181566
 -36.000000   -0.837838    0.438270    0.134110
 -33.000000   -0.885762    0.374651    0.084540
 -30.000000   -0.999486    0.285853    0.055244
 -29.393940   -1.029215    0.265244    0.051385
 -28.787878   -1.059024    0.244543    0.047525
 -28.181818   -1.088928    0.223722    0.043665
 -27.575758   -1.098042    0.211013    0.040164
 -26.969696   -1.098215    0.201828    0.036819
 -26.363636   -1.098418    0.192638    0.033477
 -25.757576   -1.098717    0.183437    0.030128
 -25.151516   -1.099066    0.174232    0.026778
 -24.545454   -1.099567    0.165022    0.023427
 -23.939394   -1.100253    0.155925    0.020164
 -23.333334   -1.102075    0.147878    0.017687
 -22.727272   -1.104136    0.139817    0.015210
 -22.121212   -1.106539    0.131730    0.012733
 -21.515152   -1.109453    0.123596    0.010254
 -20.909090   -1.111361    0.115478    0.007772
 -20.303030   -1.113103    0.107459    0.005298
 -19.696970   -1.114782    0.100188    0.003477
 -19.090910   -1.116397    0.093666    0.002295
 -18.484848   -1.118012    0.087145    0.001113
 -17.878788   -1.119036    0.080806    0.000055
 -17.272728   -1.117698    0.075201   -0.000509
 -16.666666   -1.116359    0.069597   -0.001072
 -16.060606   -1.115021    0.063992   -0.001637
 -15.454545   -1.114735    0.059001   -0.001563
 -14.848485   -1.114566    0.054078   -0.001419
 -14.242424   -1.114564    0.049156   -0.001275
 -13.636364   -1.111116    0.044529   -0.001841
 -13.030303   -1.105337    0.040068   -0.002880
 -12.424242   -1.099503    0.035620   -0.003997
 -11.818182   -1.079219    0.031650   -0.006638
 -11.212121   -1.025799    0.028782   -0.012957
 -10.606061   -0.972330    0.025923   -0.019267
 -10.000000   -0.918567    0.023073   -0.025576
  -9.393939   -0.850443    0.021404   -0.031065
  -8.787879   -0.782242    0.019737   -0.036528
  -8.181818   -0.714025    0.018069   -0.041981
  -7.575758   -0.642282    0.016818   -0.046929
  -6.969697   -0.569765    0.015746   -0.051647
  -6.363636   -0.497229    0.014675   -0.056348
  -5.757576   -0.420231    0.013811   -0.061230
  -5.151515   -0.336552    0.013260   -0.066409
  -4.545455   -0.252873    0.012708   -0.071588
  -3.939394   -0.169004    0.012187   -0.076699
  -3.333333   -0.083436    0.011945   -0.081193
  -2.727273    0.002134    0.011703   -0.085701
  -2.121212    0.087708    0.011461   -0.090222
  -1.515152    0.172079    0.011336   -0.094153
  -0.909091    0.255583    0.011251   -0.097891
  -0.303030    0.338283    0.011224   -0.101308
   0.303030    0.420523    0.011227   -0.104556
   0.909091    0.502270    0.011259   -0.107634
   1.515152    0.583197    0.011334   -0.110477
   2.121212    0.663794    0.011424   -0.113228
   2.727273    0.743640    0.011548   -0.115779
   3.333333    0.822961    0.011695   -0.118210
   3.939394    0.901853    0.011862   -0.120541
   4.545455    0.979790    0.012070   -0.122685
   5.151515    1.057287    0.012297   -0.124750
   5.757576    1.133781    0.012570   -0.126639
   6.363636    1.209431    0.012877   -0.128383
   6.969697    1.284518    0.013208   -0.130029
   7.575758    1.357751    0.013615   -0.131404
   8.181818    1.430176    0.014052   -0.132663
   8.787879    1.500938    0.014550   -0.133684
   9.393939    1.569453    0.015132   -0.134414
  10.000000    1.636760    0.015760   -0.134987
  10.606061    1.699502    0.016567   -0.135017
  11.212121    1.760058    0.017477   -0.134838
  11.818182    1.816559    0.018575   -0.134269
  12.424242    1.867033    0.020004   -0.133258
  13.030303    1.914364    0.021618   -0.132023
  13.636364    1.949564    0.024011   -0.130143
  14.242424    1.977098    0.027089   -0.128012
  14.848485    1.992223    0.031208   -0.125503
  15.454545    1.993016    0.036483   -0.123116
  16.060606    1.986658    0.042380   -0.120834
  16.666666    1.960686    0.050241   -0.119101
  17.272728    1.934900    0.058102   -0.117372
  17.878788    1.909205    0.065964   -0.115648
  18.484848    1.859455    0.076762   -0.115396
  19.090910    1.803743    0.088296   -0.115519
  19.696970    1.748092    0.099829   -0.115656
  20.303030    1.700352    0.112181   -0.117378
  20.909090    1.660504    0.125353   -0.120669
  21.515152    1.620697    0.138524   -0.123961
  22.121212    1.580935    0.151695   -0.127252
  22.727272    1.541226    0.164866   -0.130544
  23.333334    1.501578    0.178037   -0.133835
