! AeroL.Airfoil V2.0.0 Powered by Zhao Zizhen
This file targets OpenWECD 1.0.2+ and stores the quasi-steady polar table used by AeroL.
===========  Airfoil information  (General data)  ===========
25.8                Thickness      - airfoil thickness to chord ratio (%)
1          ReyNum        - Reynolds number (-)
25                PMCentre       - pitching moment reference position (%)
"./IEA-15-240-RWT_AF28_Coords.txt"                Geometry       - airfoil geometry coordinate file
===========  Airfoil data  (Aerofoil Database) ===========
 1    InterpOrd  - Interpolation order to use for quasi-steady table lookup {1=linear; 2=cubic spline; default=1}
        200   NumAlf            ! Number of data lines in the following table
    Alpha      Cl      Cd        Cm
    (deg)      (-)     (-)       (-)
-180.000000    0.000000    0.013654    0.000000
-177.000000    0.079861    0.014969    0.120000
-174.000000    0.159722    0.018477    0.240000
-171.000000    0.239583    0.024146    0.360001
-168.000000    0.319448    0.037268    0.396892
-165.000000    0.399305    0.071789    0.392231
-162.000000    0.479170    0.112819    0.387570
-159.000000    0.559022    0.160399    0.392003
-156.000000    0.638890    0.214058    0.414631
-153.000000    0.718750    0.272822    0.437255
-150.000000    0.798610    0.336443    0.457639
-147.000000    0.840533    0.404643    0.455613
-144.000000    0.806561    0.475305    0.451342
-141.000000    0.774939    0.549251    0.447155
-138.000000    0.743292    0.624466    0.444365
-135.000000    0.711202    0.700571    0.444082
-132.000000    0.677214    0.776944    0.443673
-129.000000    0.640813    0.852302    0.445266
-126.000000    0.603385    0.926223    0.447894
-123.000000    0.563674    0.998337    0.451268
-120.000000    0.520480    1.066348    0.454523
-117.000000    0.474959    1.130557    0.457521
-114.000000    0.427390    1.190869    0.460389
-111.000000    0.377610    1.246190    0.463257
-108.000000    0.325557    1.294159    0.463700
-105.000000    0.272337    1.336596    0.463596
-102.000000    0.218144    1.373299    0.462958
 -99.000000    0.163179    1.401550    0.460718
 -96.000000    0.108265    1.421857    0.456459
 -93.000000    0.053790    1.435578    0.451570
 -90.000000    0.000000    1.442632    0.446680
 -87.000000   -0.053790    1.435578    0.435879
 -84.000000   -0.108265    1.421857    0.425077
 -81.000000   -0.163179    1.401550    0.413803
 -78.000000   -0.218144    1.373299    0.401015
 -75.000000   -0.272337    1.336596    0.387026
 -72.000000   -0.325557    1.294159    0.372688
 -69.000000   -0.377610    1.246190    0.358045
 -66.000000   -0.427390    1.190869    0.342047
 -63.000000   -0.474959    1.130557    0.326050
 -60.000000   -0.520480    1.066348    0.310013
 -57.000000   -0.563674    0.998337    0.293897
 -54.000000   -0.603385    0.926223    0.277745
 -51.000000   -0.640813    0.852302    0.261693
 -48.000000   -0.677214    0.776944    0.245782
 -45.000000   -0.711202    0.700571    0.230146
 -42.000000   -0.714223    0.624466    0.214511
 -39.000000   -0.722409    0.549251    0.185675
 -36.000000   -0.736180    0.475305    0.138980
 -33.000000   -0.757969    0.404643    0.090185
 -30.000000   -0.888104    0.300031    0.059178
 -29.393940   -0.925157    0.275620    0.054728
 -28.787878   -0.962429    0.251257    0.050286
 -28.181818   -0.999991    0.226920    0.045851
 -27.575758   -1.010579    0.213165    0.042046
 -26.969696   -1.010399    0.203834    0.038489
 -26.363636   -1.011592    0.194343    0.034880
 -25.757576   -1.012786    0.184893    0.031293
 -25.151516   -1.014193    0.175444    0.027713
 -24.545454   -1.015627    0.166193    0.024132
 -23.939394   -1.017389    0.157458    0.020847
 -23.333334   -1.019746    0.149451    0.018179
 -22.727272   -1.022103    0.141444    0.015511
 -22.121212   -1.024460    0.133437    0.012844
 -21.515152   -1.026818    0.125429    0.010176
 -20.909090   -1.029175    0.117422    0.007508
 -20.303030   -1.031533    0.109414    0.004840
 -19.696970   -1.031946    0.102327    0.002827
 -19.090910   -1.030417    0.096162    0.001429
 -18.484848   -1.028890    0.089997    0.000023
 -17.878788   -1.026863    0.083978   -0.001285
 -17.272728   -1.022847    0.078541   -0.002215
 -16.666666   -1.018864    0.073102   -0.003131
 -16.060606   -1.014915    0.067660   -0.004035
 -15.454545   -1.026743    0.061744   -0.004060
 -14.848485   -1.041201    0.055740   -0.003986
 -14.242424   -1.051446    0.049687   -0.003910
 -13.636364   -1.056973    0.044292   -0.004231
 -13.030303   -1.061138    0.039543   -0.004868
 -12.424242   -1.066317    0.034791   -0.005539
 -11.818182   -1.057814    0.030419   -0.008067
 -11.212121   -1.014773    0.026934   -0.014548
 -10.606061   -0.972872    0.023449   -0.021029
 -10.000000   -0.930077    0.019964   -0.027509
  -9.393939   -0.856541    0.017985   -0.034438
  -8.787879   -0.785614    0.015978   -0.041509
  -8.181818   -0.714354    0.013928   -0.048746
  -7.575758   -0.636913    0.012714   -0.054665
  -6.969697   -0.555755    0.011887   -0.059713
  -6.363636   -0.474877    0.011059   -0.064685
  -5.757576   -0.393607    0.010445   -0.069180
  -5.151515   -0.311629    0.010149   -0.072959
  -4.545455   -0.229659    0.009847   -0.076734
  -3.939394   -0.147858    0.009556   -0.080414
  -3.333333   -0.067471    0.009433   -0.083341
  -2.727273    0.012899    0.009310   -0.086300
  -2.121212    0.093217    0.009186   -0.089421
  -1.515152    0.172643    0.009132   -0.092106
  -0.909091    0.252444    0.009103   -0.094675
  -0.303030    0.331700    0.009116   -0.097067
   0.303030    0.410043    0.009153   -0.099370
   0.909091    0.487857    0.009212   -0.101583
   1.515152    0.565319    0.009309   -0.103659
   2.121212    0.642625    0.009421   -0.105682
   2.727273    0.719348    0.009569   -0.107586
   3.333333    0.795634    0.009738   -0.109409
   3.939394    0.871566    0.009925   -0.111166
   4.545455    0.946634    0.010158   -0.112777
   5.151515    1.021238    0.010421   -0.114321
   5.757576    1.094724    0.010761   -0.115713
   6.363636    1.167452    0.011122   -0.116993
   6.969697    1.239681    0.011496   -0.118200
   7.575758    1.310429    0.011925   -0.119200
   8.181818    1.380245    0.012400   -0.120087
   8.787879    1.448082    0.012984   -0.120739
   9.393939    1.513952    0.013638   -0.121146
  10.000000    1.578765    0.014329   -0.121421
  10.606061    1.639198    0.015181   -0.121187
  11.212121    1.697485    0.016114   -0.120727
  11.818182    1.751783    0.017196   -0.119845
  12.424242    1.799512    0.018568   -0.118393
  13.030303    1.843923    0.020107   -0.116673
  13.636364    1.878541    0.022173   -0.114463
  14.242424    1.897797    0.025192   -0.111498
  14.848485    1.895396    0.029925   -0.107495
  15.454545    1.883747    0.035489   -0.104749
  16.060606    1.866020    0.041738   -0.102539
  16.666666    1.813910    0.051661   -0.101613
  17.272728    1.761801    0.061585   -0.100672
  17.878788    1.709692    0.071508   -0.099710
  18.484848    1.652820    0.083559   -0.101115
  19.090910    1.594757    0.096142   -0.103158
  19.696970    1.536694    0.108725   -0.105259
  20.303030    1.491541    0.121375   -0.108295
  20.909090    1.459299    0.134090   -0.112194
  21.515152    1.427057    0.146806   -0.116075
  22.121212    1.394815    0.159587   -0.119942
  22.727272    1.362573    0.172579   -0.123797
  23.333334    1.330331    0.185488   -0.127642
  23.939394    1.298089    0.198337   -0.131478
  24.545454    1.282186    0.210844   -0.135236
  25.151516    1.268839    0.223273   -0.138989
  25.757576    1.257965    0.235633   -0.142744
  26.363636    1.246634    0.247878   -0.146503
  26.969696    1.233113    0.260808   -0.150267
  27.575758    1.222033    0.273618   -0.154037
  28.181818    1.210803    0.287045   -0.157933
  28.787878    1.196404    0.302255   -0.162104
  29.393940    1.181845    0.317241   -0.166275
  30.000000    1.167341    0.331957   -0.170447
  33.000000    1.108039    0.404643   -0.190517
  36.000000    1.073945    0.475305   -0.209534
  39.000000    1.049080    0.549251   -0.228298
  42.000000    1.029966    0.624466   -0.244948
  45.000000    1.016003    0.700571   -0.260024
  48.000000    0.967449    0.776944   -0.275100
  51.000000    0.915447    0.852302   -0.289492
  54.000000    0.861978    0.926223   -0.303533
  57.000000    0.805248    0.998337   -0.317311
  60.000000    0.743543    1.066348   -0.330916
  63.000000    0.678513    1.130557   -0.344139
  66.000000    0.610557    1.190869   -0.357172
  69.000000    0.539443    1.246190   -0.370204
  72.000000    0.465081    1.294159   -0.382295
  75.000000    0.389053    1.336596   -0.394174
  78.000000    0.311635    1.373299   -0.405837
  81.000000    0.233113    1.401550   -0.416821
  84.000000    0.154665    1.421857   -0.426952
  87.000000    0.076842    1.435578   -0.436816
  90.000000    0.000000    1.442632   -0.446680
  93.000000   -0.053790    1.435578   -0.451570
  96.000000   -0.108265    1.421857   -0.456459
  99.000000   -0.163179    1.401550   -0.460718
 102.000000   -0.218144    1.373299   -0.462958
 105.000000   -0.272337    1.336596   -0.463596
 108.000000   -0.325557    1.294159   -0.463700
 111.000000   -0.377610    1.246190   -0.463257
 114.000000   -0.427390    1.190869   -0.460389
 117.000000   -0.474959    1.130557   -0.457521
 120.000000   -0.520480    1.066348   -0.454523
 123.000000   -0.563674    0.998337   -0.451268
 126.000000   -0.603385    0.926223   -0.447894
 129.000000   -0.640813    0.852302   -0.445266
 132.000000   -0.677214    0.776944   -0.443673
 135.000000   -0.711202    0.700571   -0.444082
 138.000000   -0.743292    0.624466   -0.444365
 141.000000   -0.774939    0.549251   -0.447155
 144.000000   -0.806561    0.475305   -0.451342
 147.000000   -0.840533    0.404643   -0.455613
 150.000000   -0.798610    0.336443   -0.457639
 153.000000   -0.718749    0.272822   -0.437255
 156.000000   -0.638888    0.214056   -0.414630
 159.000000   -0.559027    0.160402   -0.392005
 162.000000   -0.479166    0.112817   -0.407570
 165.000000   -0.399305    0.071789   -0.442231
 168.000000   -0.319444    0.037266   -0.476893
 171.000000   -0.239583    0.024146   -0.450000
 174.000000   -0.159722    0.018477   -0.300000
 177.000000   -0.079861    0.014969   -0.150000
