! AeroL.Airfoil V2.0.0 Powered by Zhao Zizhen
IEA_22MW_Monopile 模型
===========  Airfoil information  (General data)  ===========
29.2                Thickness      - airfoil thickness to chord ratio (%)
17697000          ReyNum        - Reynolds number (-)
25                PMCentre       - pitching moment reference position (%)
"./FFA-W3-301_FFA-W3-270blend_blend_t29.2.txt"                Geometry       - airfoil geometry coordinate file
===========  Airfoil data  (Aerofoil Database) ===========
 1    InterpOrd - 准稳态翼型表插值阶数 {1=linear; 2=cubic spline}
        121   NumAlf            ! Number of data lines in the following table
    Alpha      Cl      Cd        Cm
    (deg)      (-)     (-)       (-)
   3.000000 -301.000000    3.000000 -270.000000
-180.000000    0.000000    0.050000    0.000000
-177.714279    0.059768    0.050000    0.091429
-175.428574    0.119536    0.050000    0.182857
-173.142853    0.179304    0.050000    0.274286
-170.857147    0.239071    0.050000    0.365714
-168.571426    0.298839    0.050000    0.397983
-166.285721    0.358607    0.054117    0.394757
-164.000000    0.418375    0.061798    0.391530
-161.714279    0.478143    0.071201    0.388304
-159.428574    0.537911    0.103606    0.389910
-157.142853    0.597678    0.141036    0.406014
-154.857147    0.657446    0.181515    0.422118
-152.571426    0.717214    0.224793    0.438222
-150.285721    0.776982    0.270598    0.454326
-148.000000    0.836750    0.318645    0.451421
-143.857147    0.784295    0.410467    0.441236
-139.714279    0.736677    0.506787    0.431488
-135.571426    0.690039    0.605641    0.427648
-131.428574    0.641963    0.705013    0.423809
-127.285713    0.590986    0.802883    0.424312
-123.142860    0.536319    0.897263    0.427102
-119.000000    0.477684    0.986244    0.429943
-114.857140    0.415201    1.068030    0.432946
-110.714287    0.349312    1.140980    0.435948
-106.571426    0.280720    1.203637    0.435848
-102.428574    0.210342    1.254765    0.435102
 -98.285713    0.139266    1.293365    0.432004
 -94.142860    0.068712    1.318704    0.425576
 -90.000000    0.000000    1.330327    0.419147
 -85.857140   -0.068712    1.318704    0.403801
 -81.714287   -0.139266    1.293365    0.388455
 -77.571426   -0.210342    1.254765    0.370796
 -73.428574   -0.280720    1.203637    0.351505
 -69.285713   -0.349312    1.140980    0.331903
 -65.142860   -0.415201    1.068030    0.310811
 -61.000000   -0.477684    0.986244    0.289719
 -56.857143   -0.536319    0.897263    0.268805
 -52.714287   -0.590986    0.802883    0.247947
 -48.571430   -0.641963    0.705013    0.227319
 -44.428570   -0.690039    0.605641    0.207127
 -40.285713   -0.736677    0.506787    0.186936
 -36.142857   -0.784295    0.410467    0.119848
 -32.000000   -1.017859    0.247626    0.049287
 -28.000000   -1.081083    0.194334    0.029766
 -24.000000   -1.087486    0.137039    0.008023
 -20.000000   -1.102467    0.092900   -0.005867
 -18.000000   -1.089648    0.074059   -0.010360
 -16.000000   -1.088885    0.057514   -0.011303
 -14.000000   -1.101390    0.042442   -0.009245
 -12.000000   -1.096978    0.028983   -0.009395
 -10.000000   -0.931733    0.019190   -0.030440
  -8.000000   -0.702265    0.014259   -0.048101
  -6.000000   -0.449409    0.011639   -0.063360
  -4.000000   -0.173373    0.010459   -0.078310
  -2.000000    0.101824    0.009941   -0.090697
  -1.000000    0.239868    0.009702   -0.096749
   0.000000    0.374196    0.009680   -0.101575
   1.000000    0.507922    0.009750   -0.106325
   2.000000    0.639406    0.009879   -0.110317
   3.000000    0.769811    0.010085   -0.114107
   4.000000    0.899179    0.010319   -0.117657
   5.000000    1.026505    0.010653   -0.120792
   6.000000    1.151167    0.011156   -0.123522
   7.000000    1.274827    0.011619   -0.126028
   8.000000    1.394869    0.012253   -0.127972
   9.000000    1.510920    0.013051   -0.129363
  10.000000    1.623022    0.013965   -0.130255
  11.000000    1.726473    0.015229   -0.130003
  12.000000    1.822429    0.016737   -0.128954
  13.000000    1.905028    0.018896   -0.126759
  14.000000    1.965296    0.022264   -0.122975
  15.000000    1.999381    0.027401   -0.118245
  16.000000    2.008123    0.034851   -0.114135
  18.000000    1.934435    0.058818   -0.108006
  20.000000    1.694104    0.097745   -0.105269
  24.000000    1.442274    0.174266   -0.122251
  28.000000    1.319151    0.249115   -0.143593
  32.000000    1.195357    0.318645   -0.161068
  36.142857    1.120422    0.410467   -0.187673
  40.285713    1.052396    0.506787   -0.213815
  44.428570    0.985770    0.605641   -0.233709
  48.571430    0.917091    0.705013   -0.253602
  52.714287    0.844265    0.802883   -0.272251
  56.857143    0.766169    0.897263   -0.290247
  61.000000    0.682405    0.986244   -0.308090
  65.142860    0.593144    1.068030   -0.325456
  69.285713    0.499017    1.140980   -0.342821
  73.428574    0.401029    1.203637   -0.359245
  77.571426    0.300489    1.254765   -0.375473
  81.714287    0.198951    1.293365   -0.390842
  85.857140    0.098160    1.318704   -0.404995
  90.000000    0.000000    1.330327   -0.419147
  94.142860   -0.068712    1.318704   -0.425576
  98.285713   -0.139266    1.293365   -0.432004
 102.428574   -0.210342    1.254765   -0.435102
 106.571426   -0.280720    1.203637   -0.435848
 110.714287   -0.349312    1.140980   -0.435948
 114.857140   -0.415201    1.068030   -0.432946
 119.000000   -0.477684    0.986244   -0.429943
 123.142860   -0.536319    0.897263   -0.427102
 127.285713   -0.590986    0.802883   -0.424312
 131.428574   -0.641963    0.705013   -0.423809
 135.571426   -0.690039    0.605641   -0.427648
 139.714279   -0.736677    0.506787   -0.431488
 143.857147   -0.784295    0.410467   -0.441236
 148.000000   -0.836750    0.318645   -0.451421
 150.285721   -0.776982    0.270598   -0.454326
 152.571426   -0.717214    0.224793   -0.438222
 154.857147   -0.657446    0.181515   -0.422118
 157.142853   -0.597678    0.141036   -0.406014
 159.428574   -0.537911    0.103606   -0.389910
 161.714279   -0.478143    0.071201   -0.405446
 164.000000   -0.418375    0.061798   -0.431530
 166.285721   -0.358607    0.054117   -0.457614
 168.571426   -0.298839    0.050000   -0.483698
 170.857147   -0.239071    0.050000   -0.457143
 173.142853   -0.179304    0.050000   -0.342857
 175.428574   -0.119536    0.050000   -0.228571
 177.714279   -0.059768    0.050000   -0.114286
 180.000000    0.000000    0.050000    0.000000
 ------------------------------------------------------------------------------
