CaseName,Status,Message,OutputDir,DerivedQwd,LogPath,ExitCode,DurationSeconds,RowIndex
NREL5MW_IEC_KAIMAL_NTM_U11p4,success,风场生成成功,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\Spectrum_IEC_KAIMAL,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\Spectrum_IEC_KAIMAL\NREL5MW_IEC_KAIMAL_NTM_U11p4.qwd,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\Spectrum_IEC_KAIMAL\NREL5MW_IEC_KAIMAL_NTM_U11p4.log,0,295.04802360000002,2
NREL5MW_IEC_VKAIMAL_NTM_U11p4,success,风场生成成功,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\Spectrum_IEC_VKAIMAL,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\Spectrum_IEC_VKAIMAL\NREL5MW_IEC_VKAIMAL_NTM_U11p4.qwd,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\Spectrum_IEC_VKAIMAL\NREL5MW_IEC_VKAIMAL_NTM_U11p4.log,0,295.17995139999999,3
NREL5MW_B_KAL_NTM_U11p4,success,风场生成成功,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\Spectrum_B_KAL,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\Spectrum_B_KAL\NREL5MW_B_KAL_NTM_U11p4.qwd,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\Spectrum_B_KAL\NREL5MW_B_KAL_NTM_U11p4.log,0,158.7973853,4
NREL5MW_B_VKAL_NTM_U11p4,success,风场生成成功,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\Spectrum_B_VKAL,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\Spectrum_B_VKAL\NREL5MW_B_VKAL_NTM_U11p4.qwd,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\Spectrum_B_VKAL\NREL5MW_B_VKAL_NTM_U11p4.log,0,295.1801054,5
NREL5MW_B_IVKAL_NTM_U11p4,success,风场生成成功,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\Spectrum_B_IVKAL,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\Spectrum_B_IVKAL\NREL5MW_B_IVKAL_NTM_U11p4.qwd,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\Spectrum_B_IVKAL\NREL5MW_B_IVKAL_NTM_U11p4.log,0,274.55164739999998,6
NREL5MW_B_MANN_NTM_U11p4,success,风场生成成功,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\Spectrum_B_MANN,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\Spectrum_B_MANN\NREL5MW_B_MANN_NTM_U11p4.qwd,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\Spectrum_B_MANN\NREL5MW_B_MANN_NTM_U11p4.log,0,174.30533689999999,7
NREL5MW_NTM_U8,success,风场生成成功,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\NTM_U8,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\NTM_U8\NREL5MW_NTM_U8.qwd,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\NTM_U8\NREL5MW_NTM_U8.log,0,293.48789749999997,8
NREL5MW_ETM_U8,success,风场生成成功,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\ETM_U8,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\ETM_U8\NREL5MW_ETM_U8.qwd,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\ETM_U8\NREL5MW_ETM_U8.log,0,295.17977889999997,9
NREL5MW_EOG_U8,success,风场生成成功,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\EOG_U8,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\EOG_U8\NREL5MW_EOG_U8.qwd,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\EOG_U8\NREL5MW_EOG_U8.log,0,250.3978343,10
NREL5MW_NTM_U11p4,success,风场生成成功,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\NTM_U11p4,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\NTM_U11p4\NREL5MW_NTM_U11p4.qwd,f:\Qahse.Clear\demo\SimWind\batch_output\Offshore_Generic_NREL5MW\NTM_U11p4\NREL5MW_NTM_U11p4.log,0,295.18004960000002,11
